index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,54.0,202.0
0,polygon,1,0.0,62.765765765765764,199.0129852090699
0,polygon,2,0.0,71.75590906221537,198.09971766531163
0,polygon,3,0.0,80.14842749033697,194.87745202045156
0,polygon,4,0.0,88.7557694274867,191.22189695203312
0,polygon,5,0.0,97.5561871483754,188.91431864515215
0,polygon,6,0.0,106.52781027994597,186.90119248328756
0,polygon,7,0.0,115.64873594861598,185.970842683264
0,polygon,8,0.0,124.54141022417615,183.90498349278454
0,polygon,9,0.0,133.55835049862202,183.02462230128762
0,polygon,10,0.0,142.67839507974034,181.99499043469217
0,polygon,11,0.0,151.8806022246525,180.9763131530726
0,polygon,12,0.0,161.14432848639933,181.02925106326418
0,polygon,13,0.0,170.1391377695769,180.00000676338527
0,polygon,14,0.0,179.17399849721727,179.99999904246405
0,polygon,15,0.0,188.2296602055118,180.1947142710914
0,polygon,16,0.0,197.28736878751744,182.26276952715477
0,polygon,17,0.0,206.32892717591778,181.9975127442934
0,polygon,18,0.0,215.07181546740395,180.0071536596299
0,polygon,19,0.0,224.0382683789564,179.02594991220573
0,polygon,20,0.0,232.6905812986112,181.95299811156292
0,polygon,21,0.0,240.5626641455394,186.58649306661133
0,polygon,22,0.0,247.94420254129906,191.94425465211043
0,polygon,23,0.0,253.942814144503,198.86569667142064
0,polygon,24,0.0,256.0064675747082,207.7360763675343
0,polygon,25,0.0,251.37835511514209,215.73553095849664
0,polygon,26,0.0,243.99556840326596,221.00156953257513
0,polygon,27,0.0,236.30805815833816,225.61843379791048
0,polygon,28,0.0,229.48183378209998,231.48155105962846
0,polygon,29,0.0,221.66481607798346,236.13426604247135
0,polygon,30,0.0,212.66357958936172,235.95226142851018
0,polygon,31,0.0,204.9440081976807,230.92362388138736
0,polygon,32,0.0,196.82986161662254,227.0602255603388
0,polygon,33,0.0,188.27634626589105,223.98840678894186
0,polygon,34,0.0,179.40951692927155,222.100915334734
0,polygon,35,0.0,170.60946020442697,219.9906663666525
0,polygon,36,0.0,161.58611788657265,218.99990009894768
0,polygon,37,0.0,152.59106116315027,218.0020654432554
0,polygon,38,0.0,143.52880340070428,217.9999999822731
0,polygon,39,0.0,134.5500018659004,218.0004831706119
0,polygon,40,0.0,125.62567733985715,217.00206573207183
0,polygon,41,0.0,116.70805275715172,215.89695855193784
0,polygon,42,0.0,107.70463000115163,215.73583161556982
0,polygon,43,0.0,98.89448831928779,214.0162755050407
0,polygon,44,0.0,89.9756166669708,213.00033148975456
0,polygon,45,0.0,81.23248169859917,210.95021538397987
0,polygon,46,0.0,72.30764994877725,210.11294524676418
0,polygon,47,0.0,63.40399552349283,208.99740917238998
0,polygon,48,0.0,54.9687048449737,205.9689994140937
1,polygon,0,1.0,52.56450746142649,204.09589976267986
1,polygon,1,1.0,61.36080609324475,201.20003422688953
1,polygon,2,1.0,70.35994474560258,200.3801332494421
1,polygon,3,1.0,78.78545804327727,197.24515523945337
1,polygon,4,1.0,87.43028080543903,193.6791410089621
1,polygon,5,1.0,96.25417699918341,191.46303503980292
1,polygon,6,1.0,105.24621297748807,189.54314245859157
1,polygon,7,1.0,114.37630426959953,188.70751766149803
1,polygon,8,1.0,123.2899430120769,186.73407540627377
1,polygon,9,1.0,132.3155356320314,185.94735715998695
1,polygon,10,1.0,141.44577642835526,185.0124464993148
1,polygon,11,1.0,150.65806165390626,184.08934267793006
1,polygon,12,1.0,159.92073935472538,184.23843488316217
1,polygon,13,1.0,168.92574757701607,183.30261183041753
